Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IN-00001,01/01/2023,03/01/2023,Standard Class,CUST0001,Customer 1,Consumer,India,Delhi,Delhi,110001,North,P-00001,Furniture,Chairs,Executive Chair,2512.34,5,0.15,350.65
IN-00002,02/01/2023,04/01/2023,Second Class,CUST0002,Customer 2,Corporate,India,Mumbai,Maharashtra,400001,West,P-00002,Office Supplies,Binders,Plastic Binder,1384.75,3,0.10,180.75
IN-00003,03/01/2023,05/01/2023,Standard Class,CUST0003,Customer 3,Consumer,India,Bangalore,Karnataka,560001,South,P-00003,Technology,Phones,Smartphone,4321.90,2,0.20,512.32
IN-00004,04/01/2023,06/01/2023,Second Class,CUST0004,Customer 4,Home Office,India,Chennai,Tamil Nadu,600001,South,P-00004,Furniture,Storage,Wooden Cabinet,1500.00,4,0.10,300.00
IN-00005,05/01/2023,07/01/2023,Standard Class,CUST0005,Customer 5,Corporate,India,Hyderabad,Telangana,500001,South,P-00005,Technology,Phones,Smartphone,3999.99,3,0.12,480.00
IN-00006,06/01/2023,08/01/2023,Second Class,CUST0006,Customer 6,Consumer,India,Delhi,Delhi,110001,North,P-00006,Office Supplies,Binders,Leather Binder,1200.20,2,0.05,180.32
IN-00007,07/01/2023,09/01/2023,Standard Class,CUST0007,Customer 7,Home Office,India,Mumbai,Maharashtra,400001,West,P-00007,Furniture,Chairs,Office Chair,1499.00,3,0.18,250.30
IN-00008,08/01/2023,10/01/2023,Second Class,CUST0008,Customer 8,Corporate,India,Bangalore,Karnataka,560001,South,P-00008,Technology,Phones,office chair,3499.75,1,0.25,450.00
IN-00009, 09/01/2023, 11/01/2023, Standard Class, CUST0009, Customer 9, Consumer, India, Chennai, Tamil Nadu, 600001, South, P-00009, Office Supplies, Binders, Plastic Binder, 890.10, 2, 0.07, 100.45
IN-00010,10/01/2023,12/01/2023,Second Class,CUST0010,Customer 10,Home Office,India,Hyderabad,Telangana,500001,South,P-00010,Furniture,Storage,Storage Shelf,999.90,5,0.10,200.00
IN-00011,11/01/2023,13/01/2023,Standard Class,CUST0011,Customer 11,Corporate,India,Delhi,Delhi,110001,North,P-00011,Technology,Laptops,MacBook Pro,65000.00,1,0.15,8000.00
IN-00012,12/01/2023,14/01/2023,Second Class,CUST0012,Customer 12,Consumer,India,Mumbai,Maharashtra,400001,West,P-00012,Office Supplies,Binders,Hardcover Binder,1700.75,3,0.12,190.25
IN-00013,13/01/2023,15/01/2023,Standard Class,CUST0013,Customer 13,Home Office,India,Bangalore,Karnataka,560001,South,P-00013,Furniture,Chairs,Plastic Chair,599.50,6,0.05,85.75
IN-00014,14/01/2023,16/01/2023,Second Class,CUST0014,Customer 14,Corporate,India,Chennai,Tamil Nadu,600001,South,P-00014,Technology,Laptops,HP Pavilion,55000.00,1,0.10,7000.00
IN-00015,15/01/2023,17/01/2023,Standard Class,CUST0015,Customer 15,Consumer,India,Hyderabad,Telangana,500001,South,P-00015,Office Supplies,Binders,Cardboard Binder,1299.99,2,0.08,160.50
IN-00016,16/01/2023,18/01/2023,Second Class,CUST0016,Customer 16,Home Office,India,Delhi,Delhi,110001,North,P-00016,Furniture,Storage,Metal Storage Cabinet,1999.99,3,0.20,350.00
IN-00017,17/01/2023,19/01/2023,Standard Class,CUST0017,Customer 17,Corporate,India,Mumbai,Maharashtra,400001,West,P-00017,Technology,Phones,OnePlus 8,2899.99,2,0.15,350.00
IN-00018,18/01/2023,20/01/2023,Second Class,CUST0018,Customer 18,Consumer,India,Bangalore,Karnataka,560001,South,P-00018,Furniture,Chairs,Executive Chair,2400.00,3,0.10,300.00
